test_id,PM2.5,PM10,O3
aotizhongxin_aq#0,76.78619917286676,122.93570885670391,47.88348049397456
aotizhongxin_aq#1,85.24725424467883,130.07940041869645,65.52916666666667
aotizhongxin_aq#2,83.5056115948546,131.8885369162826,85.31211879294884
aotizhongxin_aq#3,86.88757205052735,126.77267341386874,105.36537588487194
aotizhongxin_aq#4,86.61259606736981,122.30734535429005,128.5403758848719
aotizhongxin_aq#5,88.0875480336849,128.72064851854284,150.46484751717955
aotizhongxin_aq#6,83.80435880140625,126.53380083739295,161.39339893038505
aotizhongxin_aq#7,87.49590538386069,129.93127446861968,177.90848049397457
aotizhongxin_aq#8,89.1043347845638,134.0628506280447,182.55446098794917
aotizhongxin_aq#9,88.97095341754559,130.65707763287244,187.4238563788465
aotizhongxin_aq#10,88.02102546807293,127.31969450888735,170.90317020615439
aotizhongxin_aq#11,89.02107350175783,123.91740189214387,156.41854609102631
aotizhongxin_aq#12,83.17940683509116,122.72022995172256,137.30877481525704
aotizhongxin_aq#13,83.63769213473961,125.46648185187618,122.93506559705176
aotizhongxin_aq#14,89.11252401684244,126.8264215137151,111.2320425515386
aotizhongxin_aq#15,86.4750480336849,122.47439661838922,102.47370921820527
aotizhongxin_aq#16,82.47512008421225,117.16644788248838,87.54612765461579
aotizhongxin_aq#17,79.29178675087893,112.94010927540039,74.10718971217982
aotizhongxin_aq#18,77.2751921347396,106.86710020133849,68.6990035394877
aotizhongxin_aq#19,74.25712857356989,100.34561454915506,61.922565597051744
aotizhongxin_aq#20,73.22090538386068,104.32570125608942,57.46097517179531
aotizhongxin_aq#21,73.95840538386068,106.31293353467181,52.92098049397456
aotizhongxin_aq#22,72.15024016842449,102.67581813210433,47.84210814859034
aotizhongxin_aq#23,76.78338136701824,123.44466053949955,44.29037588487193
aotizhongxin_aq#24,79.25842940070314,130.28162509666438,51.49741843641052
aotizhongxin_aq#25,79.2125960673698,126.02237172306334,63.112647160641224
aotizhongxin_aq#26,79.01955652304254,123.63877066831242,73.76082801115409
aotizhongxin_aq#27,72.9877401684245,116.66228121582171,86.70589893038508
aotizhongxin_aq#28,72.36683478456382,105.40781285834967,97.95173226371841
aotizhongxin_aq#29,69.87102546807293,108.8156107488478,103.43937942435963
aotizhongxin_aq#30,60.54195486877606,100.21075779394324,111.2935460910263
aotizhongxin_aq#31,63.375144101054694,107.30096897750703,124.4738563788465
aotizhongxin_aq#32,59.512572050527346,104.41430611114761,128.5385567353848
aotizhongxin_aq#33,58.2875960673698,102.63231138490227,125.25575176974382
aotizhongxin_aq#34,58.29592940070313,103.50716053949957,119.78764716064123
aotizhongxin_aq#35,61.78215259041234,105.96954366348466,112.14991311423128
aotizhongxin_aq#36,57.18627122339411,99.32076539455775,100.84703722935936
aotizhongxin_aq#37,58.34739834573352,92.8406447182356,92.44378013743625
aotizhongxin_aq#38,55.94178675087892,92.39775632049584,79.49468971217982
aotizhongxin_aq#39,54.479238717194015,88.53296370375236,75.19037588487194
aotizhongxin_aq#40,54.03364555228518,88.66507530601261,65.89225530923156
aotizhongxin_aq#41,52.621001451230484,87.98174197267927,56.84339893038508
aotizhongxin_aq#42,55.46673871719402,94.27757530601261,52.670980493974554
aotizhongxin_aq#43,56.14453250620009,88.74302024160619,51.944161344487426
aotizhongxin_aq#44,59.962596067369795,102.42662129635713,47.828698573846765
aotizhongxin_aq#45,70.95852546807293,145.80066728670164,41.69756559705175
aotizhongxin_aq#46,79.97512008421225,160.3752826892691,41.01552304551316
aotizhongxin_aq#47,91.9751441010547,167.2158784702654,40.76279432128244
badaling_aq#0,70.27367515602431,108.49698712563084,46.537118792948824
badaling_aq#1,72.0486751560243,112.07091623996045,60.74689006871813
badaling_aq#2,71.57232629520617,111.69213417072628,78.25900886166696
badaling_aq#3,73.31536583953343,109.62359345413643,96.59143262025671
badaling_aq#4,71.25154099555773,104.96793733497907,115.71499467782075
badaling_aq#5,70.12649296187284,112.62156855881055,135.00067552833363
badaling_aq#6,67.09327971275175,107.24427594206706,148.3178705626927
badaling_aq#7,69.90440683509117,114.09939661838922,149.39627481525702
badaling_aq#8,71.60854948491537,116.29362362321697,166.01006559705175
badaling_aq#9,75.236319257079,120.25558818038176,173.2048421950003
badaling_aq#10,72.16413706292754,119.59496223030496,159.53559396474415
badaling_aq#11,72.13499441310331,120.06296750405961,145.21619857384678
badaling_aq#12,70.64053395743058,115.56109345413643,125.99953190718008
badaling_aq#13,70.38501842994577,118.2389215137151,110.29354609102629
badaling_aq#14,72.3320325062001,114.23960780195299,98.75900886166696
badaling_aq#15,70.41538985637587,107.18219450888736,89.51590425256433
badaling_aq#16,69.25303395743057,105.03403458942276,74.98013651628274
badaling_aq#17,68.13497039626087,99.12436264900143,71.82960814859034
badaling_aq#18,67.44754244678822,91.51656475850329,65.00475530923156
badaling_aq#19,64.19337578012154,91.46897425126167,60.138088642564895
badaling_aq#20,62.784946379418415,95.41289956528404,56.86922161935992
badaling_aq#21,62.987740168424494,97.20846517719977,52.984684390000574
badaling_aq#22,63.65161304608508,89.96843880842648,47.06605141320554
badaling_aq#23,63.66406501240019,112.69978121582172,43.88779432128245
badaling_aq#24,67.46553395743058,122.94290336559129,48.86619857384677
